
Quadro extraído em 08 de Novembro de 2022 (16:31:29)
http://www.ine.pt



Período de referência dos dados;NUTS 2013 (hierarquia cumulativa - PT, NUTS I, II, III, CC, FR) - variante 1 (1) ;Acessos à Internet em banda larga por 100 habitantes (%) por Localização geográfica (NUTS - 2013) e Segmento de acesso -  Anual;Densidade populacional (N.º/ km²) por Local de residência (NUTS - 2013) e Tipologia de áreas urbanas -  Anual (2) ;;;Taxa de abandono precoce de educação e formação (Série 2021 - %) por Local de residência (NUTS - 2013) e Sexo -  Anual (3) ;Taxa de escolaridade do nível de ensino básico (Série 2021 - %) por Local de residência (NUTS - 2013) -  Anual;Taxa de escolaridade do nível de ensino secundário (Série 2021 - %) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual;Taxa de escolaridade do nível de ensino superior (Série 2021 - %) da população residente com idade entre 25 e 64 anos por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual (4) ;;;População desempregada com idade entre 16 e 64 anos (Série 2021 - N.º) por Local de residência (NUTS - 2013) -  Anual (4) ;
;;Segmento de acesso;Tipologia de áreas urbanas;;;Sexo;;Sexo;Sexo;;;;
;;Total;Área predominantemente urbana;Área mediamente urbana;Área predominantemente rural;HM;;HM;HM;;;;
;;;;;;;;Grupo etário;Grupo etário;;;;
;;;;;;;;Total;Total;25 - 34 anos;35 - 64 anos;;
;;% ;N.º/ km² ;N.º/ km² ;N.º/ km² ;% ;% ;% ;% ;% ;% ;N.º (milhares);
2021;17: Área Metropolitana de Lisboa;47,2;x;x;x;5,9 §;88,7;73,6;41,3;53,8;38,2;93,7;
;185: Lezíria do Tejo;38,4;x;x;x;x;x;x;x;x;x;x;
;187: Alentejo Central;41,6;x;x;x;x;x;x;x;x;x;x;
;3: Região Autónoma da Madeira;40,8;x;x;x;10,6 §;70,2;53,8;24,2;37,9;20,4;10,2;
2020;17: Área Metropolitana de Lisboa;46,3;1514;158,5;29,2;7;87,4;70;38;49,9;35,1;1237,1;
;185: Lezíria do Tejo;36,5;103,9;78,6;24,3;x;x;x;x;x;x;x;
;187: Alentejo Central;40,3;74,7;18,7;8;x;x;x;x;x;x;x;
;3: Região Autónoma da Madeira;38,9;768;138,9;51,3;§ §;67,4;49,9;22,9;36,2;19,3;112,2;
2019;17: Área Metropolitana de Lisboa;45;1510,6;158,8;29,4;10,4;84,9;66;35,2;42,1;33,4;1273,6;
;185: Lezíria do Tejo;34,1;104;79,1;24,6;x;x;x;x;x;x;x;
;187: Alentejo Central;37,8;75,1;18,9;8,1;x;x;x;x;x;x;x;
;3: Região Autónoma da Madeira;37,5;766,5;139,7;51,7;§ §;64,4;47,3;21,3;33,7;17,9;115,8;
2018;17: Área Metropolitana de Lisboa;43,6;1501,4;158,5;29,5;11,1;82,4;63,2;32,8;36,5;31,8;1258,6;
;185: Lezíria do Tejo;32,4;103,3;79,1;24,7;x;x;x;x;x;x;x;
;187: Alentejo Central;35,5;75,2;18,9;8,2;x;x;x;x;x;x;x;
;3: Região Autónoma da Madeira;36,1;765,2;139,3;52,1;§ §;62,8;45,6;21,2;32,5;18,1;111,9;
2017;17: Área Metropolitana de Lisboa;41,9;1494,4;158,4;29,6;10,8;81,5;61,8;32,6;38,8;31;1226,1;
;185: Lezíria do Tejo;30,1;103,7;79,7;25;x;x;x;x;x;x;x;
;187: Alentejo Central;32,8;76;19,2;8,3;x;x;x;x;x;x;x;
;3: Região Autónoma da Madeira;34,2;766,1;139,6;52,4;§ §;60,5;42,8;20,7;31,4;17,7;106,7;
2016;17: Área Metropolitana de Lisboa;40,1;1487,6;158,5;29,6;12,2;81;61;32,3;41,5;29,8;1190,3;
;185: Lezíria do Tejo;28,4;104;80,3;25,2;x;x;x;x;x;x;x;
;187: Alentejo Central;30,5;76,7;19,5;8,4;x;x;x;x;x;x;x;
;3: Região Autónoma da Madeira;32,3;767,1;139,8;53;23,2;56,9;40;18,9;28,1;16,3;102,9;

Acessos à Internet em banda larga por 100 habitantes (%) por Localização geográfica (NUTS - 2013) e Segmento de acesso -  Anual
Densidade populacional (N.º/ km²) por Local de residência (NUTS - 2013) e Tipologia de áreas urbanas -  Anual
Taxa de abandono precoce de educação e formação (Série 2021 - %) por Local de residência (NUTS - 2013) e Sexo -  Anual
Taxa de escolaridade do nível de ensino básico (Série 2021 - %) por Local de residência (NUTS - 2013) -  Anual
Taxa de escolaridade do nível de ensino secundário (Série 2021 - %) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual
Taxa de escolaridade do nível de ensino superior (Série 2021 - %) da população residente com idade entre 25 e 64 anos por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual
População desempregada com idade entre 16 e 64 anos (Série 2021 - N.º) por Local de residência (NUTS - 2013) -  Anual

Nota(s):
(1) A partir de 1 de janeiro de 2015 entrou em vigor uma nova versão das NUTS (NUTS 2013). Ao nível da NUTS II ocorreu apenas uma alteração de designação em "Lisboa" que passou a ser designada por "Área Metropolitana de Lisboa".

(2) Informação de acordo com a divisão administrativa correspondente à Carta Administrativa Oficial de Portugal 2013 (CAOP2013) e a nova versão das NUTS (NUTS 2013) em vigor a partir de 1 de janeiro de 2015. <br>Para cada ano de referência dos dados considera-se a área constante da Carta Administrativa Oficial de Portugal, da Direção-Geral do Território, correspondente à versão em vigor a 31 de dezembro desse ano. Para os anos de 2011, 2012 e 2013 foi considerada a área constante da Carta Administrativa Oficial de Portugal 2013 (CAOP2013), que inclui as alterações decorrentes da reorganização administrativa do território das freguesias, com entrada em vigor a 30 de setembro de 2013.

(3) O questionário do Inquérito ao Emprego, na série de dados iniciada no 1º trimestre de 2021, apresenta um maior detalhe na captação de atividades de aprendizagem não formal. Esta circunstância pode ter impacto nos resultados dos indicadores para os quais é utilizada esta informação, quando comparados com os da série de dados em vigor do 1º trimestre de 2011 ao 4.º trimestre de 2020.

(4) Todas as estimativas relativas à série de 2011 (em vigor do 1.º trimestre de 2011 ao 4.º trimestre de 2020) constantes deste indicador foram revistas no âmbito do exercício de reconciliação com a série de 2021, sendo assim possível a sua comparação direta com as estimativas desta série.



Última atualização destes dados: 06 de setembro de 2022


Metainformação associada ao quadro

Acessos à Internet em banda larga por 100 habitantes (%)
Designação;Acessos à Internet em banda larga por 100 habitantes (%) por Localização geográfica (NUTS - 2013) e Segmento de acesso -  Anual
Periodicidade;Anual
Fonte;INE, Inquérito às telecomunicações
Primeiro período disponível;2011
Último período disponível;2021
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2013)
     Dimensão 3;Segmento de acesso
Conceitos
     PERÍODO DE REFERÊNCIA;Período de tempo a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     BANDA LARGA;Ligação que permite veicular, a grande velocidade, quantidades consideráveis de informação, como por exemplo, imagens televisivas. Os tipos de ligação que fornecem ligação em banda larga são: XDSL (ADSL, SDSL, etc.), cabo, UMTS ou outras como satélite.
     EMPRESA;Entidade jurídica (pessoa singular ou colectiva) correspondente a uma unidade organizacional de produção de bens e/ou serviços, usufruindo de uma certa autonomia de decisão, nomeadamente quanto à afectação dos seus recursos correntes. Uma empresa pode exercer uma ou várias atividades, em um ou em vários locais.
Definição;
Fórmula;(Acessos à Internet em banda larga/ População média anual residente)*100
Unidade de Medida (símbolo);Percentagem (%)
Potência de 10;0
Data da última atualização;06-Sep-2022
Densidade populacional (N.º/ km²)
Designação;Densidade populacional (N.º/ km²) por Local de residência (NUTS - 2013) e Tipologia de áreas urbanas -  Anual
Periodicidade;Anual
Fonte;INE, Estimativas anuais da população residente
Primeiro período disponível;2011
Último período disponível;2020
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência (NUTS - 2013)
     Dimensão 3;Tipologia de áreas urbanas
Conceitos
     DENSIDADE POPULACIONAL;Intensidade do povoamento expressa pela relação entre o número de habitantes de uma área territorial determinada e a superfície desse território (habitualmente expressa em número de habitantes por quilómetro quadrado).
     POPULAÇÃO RESIDENTE;Conjunto de pessoas que, independentemente de estarem presentes ou ausentes num determinado alojamento no momento de observação, viveram no seu local de residência habitual por um período contínuo de, pelo menos, 12 meses anteriores ao momento de observação, ou que chegaram ao seu local de residência habitual durante o período correspondente aos 12 meses anteriores ao momento de observação, com a intenção de aí permanecer por um período mínimo de um ano.
     PERÍODO DE REFERÊNCIA;Período de tempo a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
Definição;
Fórmula;Total de indivíduos/ Área (quilómetro quadrado)
Unidade de Medida (símbolo);Número/ Quilómetro quadrado (N.º/ km²)
Potência de 10;0
Data da última atualização;08-Feb-2022
Taxa de abandono precoce de educação e formação (Série 2021 - %)
Designação;Taxa de abandono precoce de educação e formação (Série 2021 - %) por Local de residência (NUTS - 2013) e Sexo -  Anual
Periodicidade;Anual
Fonte;INE, Inquérito ao emprego (Séries - 2021)
Primeiro período disponível;2011
Último período disponível;2021
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência (NUTS - 2013)
     Dimensão 3;Sexo
Conceitos
     PERÍODO DE REFERÊNCIA;Período de tempo a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     ABANDONO PRECOCE DE EDUCAÇÃO E FORMAÇÃO;Situação do indivíduo com idade entre os 18 e os 24 anos e com nível de escolaridade completo até ao 3º ciclo do ensino básico que não está a frequentar qualquer atividade no âmbito da educação formal ou educação não formal.
     POPULAÇÃO RESIDENTE;Conjunto de pessoas que, independentemente de estarem presentes ou ausentes num determinado alojamento no momento de observação, viveram no seu local de residência habitual por um período contínuo de, pelo menos, 12 meses anteriores ao momento de observação, ou que chegaram ao seu local de residência habitual durante o período correspondente aos 12 meses anteriores ao momento de observação, com a intenção de aí permanecer por um período mínimo de um ano.
Definição;
Fórmula;[População residente com idade entre 18 e 24 anos, com nível de escolaridade completo até ao 3º ciclo do ensino básico que não recebeu nenhum tipo de educação (formal ou não formal) no período de referência/ População residente com idade entre 18 e 24 anos]*100<br>PERÍODO DE REFERÊNCIA: Semana de referência ou nas três semanas anteriores à semana de referência.
Unidade de Medida (símbolo);Percentagem (%)
Potência de 10;0
Observações;EDUCAÇÃO FORMAL: Educação ou formação ministradas em instituições de educação ou formação, em que a aprendizagem é organizada, avaliada e certificada sob a responsabilidade de profissionais qualificados. Constitui uma sucessão hierárquica de educação ou formação, na qual a conclusão de um dado nível permite a progressão para níveis superiores.
Data da última atualização;02-Jun-2022
Taxa de escolaridade do nível de ensino básico (Série 2021 - %)
Designação;Taxa de escolaridade do nível de ensino básico (Série 2021 - %) por Local de residência (NUTS - 2013) -  Anual
Periodicidade;Anual
Fonte;INE, Inquérito ao emprego (Séries - 2021)
Primeiro período disponível;2011
Último período disponível;2021
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência (NUTS - 2013)
Conceitos
     ENSINO BÁSICO;Nível de ensino que visa assegurar aprendizagens num nível elementar ou intermédio de complexidade, permitindo o prosseguimento de estudos ou o ingresso no mercado de trabalho.
     NÍVEL DE ESCOLARIDADE;Nível do sistema de educação e formação que se estrutura em função da educação pré-escolar e dos ciclos de estudo dos níveis de ensino tais como: 1º ciclo, 2º ciclo, 3º ciclo do ensino básico; ensino secundário, ensino pós-secundário não superior; bacharelato, licenciatura, mestrado e doutoramento do ensino superior.	
     POPULAÇÃO RESIDENTE;Conjunto de pessoas que, independentemente de estarem presentes ou ausentes num determinado alojamento no momento de observação, viveram no seu local de residência habitual por um período contínuo de, pelo menos, 12 meses anteriores ao momento de observação, ou que chegaram ao seu local de residência habitual durante o período correspondente aos 12 meses anteriores ao momento de observação, com a intenção de aí permanecer por um período mínimo de um ano.
     PERÍODO DE REFERÊNCIA;Período de tempo a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
Definição;
Fórmula;(População residente com idade entre 20 e 64 anos com pelo menos o 3º ciclo do ensino básico completo/ População residente com idade entre 20 e 64 anos)*100
Unidade de Medida (símbolo);Percentagem (%)
Potência de 10;0
Data da última atualização;02-Jun-2022
Taxa de escolaridade do nível de ensino secundário (Série 2021 - %)
Designação;Taxa de escolaridade do nível de ensino secundário (Série 2021 - %) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual
Periodicidade;Anual
