ID Animal,Codigo postal,
68376,2795-133,
29581,1150-209,
20034,1500-128,
24497,1150-340,
64655,2795-217,
66486,1300-?,só sei que é em Alcântara
72208,2810-080,
72392,7000-512,
72427,1750-400,
60377,1495-034,
67071,2650-111,
70722,2700-427,
71428,1500-224,
72294,2725-014,
7538,2610-265,
51424,1300-531,
53975,1500-599,
71108,2790-240,
71920,2765-605,
72178,2635-293,
72367,1500-292,
38165,1300-291,
60121,8600-???,só sei que é em Lagos
62846,1750-396,
63566,2790-258,
67609,2790-311,
69538,1200-630,
71317,1675-108,
71536,1700-342,
72503,1350-065,
72644,1400-127,
68039,2605-278,
52890,1495-159,
60987,2735-005,
71865,1495-724,
72787,2735-266,
42613,1950-450,
35831,2730-272,
47145,1400-320,
63900,1700-322,
8924,2795-074,
877,1990-108,
66842,2725-014,
71156,1300-087,
25774,1500-627,
48994,2690-387,
61557,2720-135,
44440,2865-655,
69802,2855-650,
45584,1300-033,
31343,2680-003,
72023,2650-406,
47427,2675-670,
72309,1400-270,
64702,1400-357,
72543,1349-017,
65028,2760-093,
73346,1800-135,
73355,2745-016,
67554,2745-121,
1762,2790-054,
47588,1400-107,
60309,2810-226,
73603,2625-204,
48716,2635-299,
73734,2745-102,
70266,1400-134,
38677,1070-129,
15064,2740-252,
70847,2675-607,
24004,2785-720,
62244,1495-138,
62384,2710-692,
72661,2840-503,
72195,1700-023,
507,2785-055,
61914,1250-199,
66702,1400-262,
64893,2680-037,
64731,1400-321,
44594,1150-040,
2417,2775-615,
61585,1600-238,
73572,2785-433,
61813,1400-107,
73452,2650-197,
67720,1400-004,
73978,1495-017,
67647,2000-215,
45959,1400-049,
72830,2670-540,
67484,1400-319,
48927,1500-534,
49716,2610-175,
15836,1300-076,
74257,1350-410,
64011,1350-065,
33923,2675-520,
62945,1495-131,
43559,2870-619,
72954,2735-507,
26464,1750-433,
72016,2705-727,
74026,1350-282,
72666,1350-141,
56055,2775-573,
31479,1300-422,
53312,1250-233,
74259,1300-306,
46791,2700-720,
51556,2785-122,
74386,2720-801,
20387,2710-132,
74033,1500-008,
74501,1500-377,
74109,1300-414,
28113,1495-076,
74571,2610-147,
45114,2610-114,
51128,1400-422,
67751,2825-021,
35058,2605-200,
74057,1400-284,
73869,2605-076,
61758,1600-413,
74740,2725-337,
74774,1200-257,
69337,2660-444,
41545,2610-287,
73866,1700-094,
73937,2675-362,
74005,9000-136,
74006,2855-412,
73962,2795-036,
74514,2780-232,
73820,1400-251,
69820,2785-449,
70304,1350-209,
40970,1300-413,
74021,1600-256,
72370,1170-164,
73919,1400-166,
34419,2790-069,
74236,2790-491,
6707,1150-143,
51090,1170-182,
14622,1070-070,
74615,2610-286,
CONTROLO,,
72312,1675-155,
13819,2620-046,
67198,2620-458,
41359,2745-316,
71543,2700-134,
57078,1495-065,
18447,1495-097,
72043,1300-544,
72194,2675-242,
52909,1300-049,
50843,2730-201,
46773,1800-268,
63613,2610-303,
65197,1600-621,
72292,2675-356,
68011,2790-156,
66628,2790-216,
60626,1000-048,
71855,1700-175,
53973,1495-161,
9511,2700-320,
59891,2700-778,
72905,1675-351,
72917,1500-442,
71998,1400-058,
72022,1350-346,
72175,1500-627,
72002,1300-490,
9279,1400-118,
8405,1600-174,
49405,2615-226,
45317,1150-143,
53038,1300-275,
67107,1600-067,
64314,2675-295,
73634,1300-303,
73648,2790-316,
69028,2735-018,
6836,2605-753,
70950,1600-313,
62692,1300-514,
3343,1070-326,
33556,1070-132,
48646,1350-226,
70807,1800-284,
73944,2660-293,
57307,1200-625,
43229,2670-579,
28090,2700-503,
63143,2660-287,
46808,1495-725,
10936,2620-396,
28808,2855-620,
69831,2660-205,
73897,2610-166,
64832,1400-232,
65233,2855-120,
26983,1495-038,
44144,2720-203,
20095,1300-118,
22596,1495-203,
36124,2605-863,
73375,2640-300,
57975,1070-011,
71136,2770-113,
69453,2615-164,
74753,1200-030,
69455,2775-293,
20463,1350-344,
32426,2720-008,
60589,1990-302,
