Local de residência (à data dos Censos 2021),Proporção da população residente com pelo menos o ensino secundário completo (%) por Local de residência (à data dos Censos 2021) e Sexo; Decenal
Portugal,45.64
Continente,45.94
Norte,41.73
Alto Minho,38.13
Arcos de Valdevez,29.86
Aboim das Choças,25.48
Aguiã,24.28
Ázere,29.03
Cabana Maior,15.38
Cabreiro,13.36
Cendufe,25.39
Couto,25.17
Gavieira,14.23
Gondoriz,23.48
Jolda (São Paio),35.43
Miranda,11.26
Monte Redondo,22.62
Oliveira,38.01
Paçô,44.96
Padroso,15.43
Prozelo,28.34
Rio de Moinhos,19.24
Rio Frio,16.70
Sabadim,25.40
Senharei,13.46
Sistelo,18.95
Soajo,16.59
União das freguesias de Alvora e Loureda,20.17
"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",49.50
União das freguesias de Arcos de Valdevez (São Paio) e Giela,47.69
União das freguesias de Eiras e Mei,18.81
União das freguesias de Grade e Carralcova,16.34
União das freguesias de Guilhadeses e Santar,38.97
União das freguesias de Jolda (Madalena) e Rio Cabrão,24.87
União das freguesias de Padreiro (Salvador e Santa Cristina),27.59
União das freguesias de Portela e Extremo,12.58
União das freguesias de São Jorge e Ermelo,19.47
União das freguesias de Souto e Tabaçô,29.34
União das freguesias de Távora (Santa Maria e São Vicente),28.11
"União das freguesias de Vilela, São Cosme e São Damião e Sá",22.88
Vale,21.73
Caminha,41.61
Âncora,42.59
Argela,37.96
Dem,25.84
Lanhelas,45.43
Riba de Âncora,36.05
Seixas,44.86
"União das freguesias de Arga (Baixo, Cima e São João)",10.53
União das freguesias de Caminha (Matriz) e Vilarelho,43.91
União das freguesias de Gondar e Orbacém,28.41
União das freguesias de Moledo e Cristelo,48.43
União das freguesias de Venade e Azevedo,36.50
Vila Praia de Âncora,42.36
Vilar de Mouros,40.42
Vile,34.13
Melgaço,27.47
Alvaredo,31.53
Cousso,9.78
Cristoval,22.03
Fiães,15.11
Gave,11.45
Paderne,28.92
Penso,20.65
São Paio,26.54
União das freguesias de Castro Laboreiro e Lamas de Mouro,13.55
União das freguesias de Chaviães e Paços,19.81
União das freguesias de Parada do Monte e Cubalhão,13.69
União das freguesias de Prado e Remoães,33.25
União das freguesias de Vila e Roussas,40.01
Monção,34.89
Abedim,27.33
Barbeita,33.29
Barroças e Taias,27.63
Bela,35.81
Cambeses,37.50
Lara,27.73
Longos Vales,25.42
Merufe,21.11
Moreira,33.40
Pias,30.68
Pinheiros,36.62
Podame,20
Portela,17.02
Riba de Mouro,20.29
Segude,26.16
Tangil,24.87
Trute,25
União das freguesias de Anhões e Luzio,14.74
União das freguesias de Ceivães e Badim,25
União das freguesias de Mazedo e Cortes,52.77
"União das freguesias de Messegães, Valadares e Sá",24.06
União das freguesias de Monção e Troviscoso,41.32
"União das freguesias de Sago, Lordelo e Parada",18.64
União das freguesias de Troporiz e Lapela,32.75
Paredes de Coura,30.62
Agualonga,24.78
Castanheira,31.89
Coura,21.53
Cunha,26.18
Infesta,26.91
Mozelos,29.37
Padornelo,28.57
Parada,27.08
Romarigães,28.72
Rubiães,24.24
União das freguesias de Bico e Cristelo,25.62
