Local de residência (à data dos Censos 2021),Proporção da população residente com ensino superior completo (%) por Local de residência (à data dos Censos 2021) e Sexo; Decenal
Portugal,21.20
Continente,21.41
Norte,19.04
Alto Minho,15.63
Arcos de Valdevez,10.78
Aboim das Choças,10.40
Aguiã,7.07
Ázere,9.39
Cabana Maior,1.18
Cabreiro,3.02
Cendufe,5.53
Couto,8.96
Gavieira,2.07
Gondoriz,7.54
Jolda (São Paio),14.17
Miranda,3.90
Monte Redondo,7.27
Oliveira,15.91
Paçô,18.46
Padroso,5.81
Prozelo,7.89
Rio de Moinhos,5.63
Rio Frio,5.35
Sabadim,6.50
Senharei,3.85
Sistelo,6.49
Soajo,5.40
União das freguesias de Alvora e Loureda,7.12
"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",21.28
União das freguesias de Arcos de Valdevez (São Paio) e Giela,21.58
União das freguesias de Eiras e Mei,6
União das freguesias de Grade e Carralcova,3.53
União das freguesias de Guilhadeses e Santar,14.92
União das freguesias de Jolda (Madalena) e Rio Cabrão,6.25
União das freguesias de Padreiro (Salvador e Santa Cristina),10.71
União das freguesias de Portela e Extremo,3.97
União das freguesias de São Jorge e Ermelo,4.66
União das freguesias de Souto e Tabaçô,8.28
União das freguesias de Távora (Santa Maria e São Vicente),9.17
"União das freguesias de Vilela, São Cosme e São Damião e Sá",8.87
Vale,5.10
Caminha,18.13
Âncora,17.32
Argela,17.41
Dem,10.38
Lanhelas,18.51
Riba de Âncora,16.32
Seixas,18.06
"União das freguesias de Arga (Baixo, Cima e São João)",2.67
União das freguesias de Caminha (Matriz) e Vilarelho,19.35
União das freguesias de Gondar e Orbacém,12.98
União das freguesias de Moledo e Cristelo,25.22
União das freguesias de Venade e Azevedo,15.37
Vila Praia de Âncora,18.55
Vilar de Mouros,14.81
Vile,14.11
Melgaço,9.96
Alvaredo,10.57
Cousso,3.11
Cristoval,8.46
Fiães,5.80
Gave,4.32
Paderne,9.58
Penso,6.09
São Paio,9.94
União das freguesias de Castro Laboreiro e Lamas de Mouro,7.22
União das freguesias de Chaviães e Paços,5.94
União das freguesias de Parada do Monte e Cubalhão,5.47
União das freguesias de Prado e Remoães,14.04
União das freguesias de Vila e Roussas,14.58
Monção,13.22
Abedim,10.78
Barbeita,12.48
Barroças e Taias,5.69
Bela,12.08
Cambeses,15.70
Lara,12.44
Longos Vales,9.35
Merufe,5.94
Moreira,13.16
Pias,10.11
Pinheiros,14.23
Podame,8.33
Portela,6.52
Riba de Mouro,7.11
Segude,6.62
Tangil,10
Trute,9.22
União das freguesias de Anhões e Luzio,3.70
União das freguesias de Ceivães e Badim,9.27
União das freguesias de Mazedo e Cortes,21.68
"União das freguesias de Messegães, Valadares e Sá",8.70
União das freguesias de Monção e Troviscoso,16.34
"União das freguesias de Sago, Lordelo e Parada",4.06
União das freguesias de Troporiz e Lapela,10.10
Paredes de Coura,10.23
Agualonga,10.67
Castanheira,10.74
Coura,8.51
Cunha,7.27
Infesta,8.21
Mozelos,11.82
Padornelo,7.62
Parada,6.06
Romarigães,9.90
Rubiães,9.79
União das freguesias de Bico e Cristelo,6.54
União das freguesias de Cossourado e Linhares,9.46
União das freguesias de Formariz e Ferreira,11.42
União das freguesias de Insalde e Porreiras,6.53
União das freguesias de Paredes de Coura e Resende,14.71
Vascões,5.52
Ponte da Barca,11.11
Azias,3.33
Boivães,2.67
Bravães,10.21
Britelo,8.41
Cuide de Vila Verde,8.30
Lavradas,10.79
Lindoso,3.54
Nogueira,12.89
Oleiros,11.11
Sampriz,6.25
"União das freguesias de Crasto, Ruivos e Grovelas",6.82
"União das freguesias de Entre Ambos-os-Rios, Ermida e Germil",3.20
"União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães",16.47
União das freguesias de Touvedo (São Lourenço e Salvador),8.25
União das freguesias de Vila Chã (São João Baptista e Santiago),6
Vade (São Pedro),15.05
Vade (São Tomé),11.11
Ponte de Lima,13.26
Anais,9.44
Arca e Ponte de Lima,26.53
Arcozelo,12.41
"Ardegão, Freixo e Mato",10.84
Associação de freguesias do Vale do Neiva,8.12
Bárrio e Cepões,9.37
Beiral do Lima,4.06
Bertiandos,9.18
Boalhosa,2.15
Brandara,13.35
Cabaços e Fojo Lobal,7.11
Cabração e Moreira do Lima,10.07
Calheiros,9.72
Calvelo,7.39
Correlhã,12.90
Estorãos,10.31
Facha,10.56
Feitosa,28.81
Fontão,15.11
Fornelos e Queijada,10.52
Friastelas,9.09
Gandra,8.30
Gemieira,9.11
Gondufe,6.32
Labruja,10.49
"Labrujó, Rendufe e Vilar do Monte",6.01
Navió e Vitorino dos Piães,10.46
Poiares,9.69
Rebordões (Santa Maria),7.92
Rebordões (Souto),6.47
Refóios do Lima,10.78
Ribeira,17.31
Sá,14.49
Santa Comba,17.33
Santa Cruz do Lima,8.26
São Pedro d'Arcos,17.47
Seara,17.69
Serdedelo,4.47
Vitorino das Donas,14.69
Valença,11.76
Boivão,5.49
Cerdal,6.11
Fontoura,8.30
Friestas,13.74
Ganfei,12.67
São Pedro da Torre,11.54
União das freguesias de Gandra e Taião,9.88
União das freguesias de Gondomil e Sanfins,4.68
União das freguesias de São Julião e Silva,5.87
"União das freguesias de Valença, Cristelo Covo e Arão",15.34
Verdoejo,13.64
Viana do Castelo,20.52
Afife,26.85
Alvarães,11.64
Amonde,11.17
Anha,16.03
Areosa,26
Carreço,27.40
Castelo do Neiva,9.08
Chafé,18.97
Darque,18.65
Freixieiro de Soutelo,12.11
Lanheses,15.79
Montaria,5.82
Mujães,13.79
Outeiro,13.64
Perre,17.76
Santa Marta de Portuzelo,20.12
São Romão de Neiva,14.24
União das freguesias de Barroselas e Carvoeiro,13.74
União das freguesias de Cardielos e Serreleis,15.93
"União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão",10.31
União das freguesias de Mazarefes e Vila Fria,11.79
"União das freguesias de Nogueira, Meixedo e Vilar de Murteda",15.19
"União das freguesias de Subportela, Deocriste e Portela Susã",8.95
União das freguesias de Torre e Vila Mou,14.54
União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,30.41
Vila de Punhe,14.89
Vila Franca,14.63
Vila Nova de Cerveira,13.85
Cornes,8.27
Covas,8.43
Gondarém,15.64
Loivo,12.74
Mentrestido,8.58
Sapardos,3.82
Sopo,7.69
União das freguesias de Campos e Vila Meã,15.49
União das freguesias de Candemil e Gondar,11.24
União das freguesias de Reboreda e Nogueira,15.89
União das freguesias de Vila Nova de Cerveira e Lovelhe,18.91
Cávado,21.42
Amares,14.43
Barreiros,10.98
Bico,21.57
Bouro (Santa Maria),12.20
Bouro (Santa Marta),9.47
Caires,13.19
Carrazedo,16.49
Dornelas,8.01
Fiscal,13.37
Goães,12.90
Lago,18.46
Rendufe,13.31
União das freguesias de Amares e Figueiredo,14.99
"União das freguesias de Caldelas, Sequeiros e Paranhos",12.32
"União das freguesias de Ferreiros, Prozelo e Besteiros",15.79
União das freguesias de Torre e Portela,10.97
"União das freguesias de Vilela, Seramil e Paredes Secas",7.85
Barcelos,14.01
Abade de Neiva,18.27
Aborim,9.62
Adães,15.88
Airó,11.11
Aldreu,10.63
Alvelos,11.65
Arcozelo,18.06
Areias,12.36
Balugães,13.62
Barcelinhos,25.02
Barqueiros,8.80
Cambeses,13.14
Carapeços,10.47
Carvalhal,12.42
Carvalhas,5.72
Cossourado,10.93
Cristelo,9.53
Fornelos,8.35
Fragoso,11.74
Galegos (Santa Maria),13.98
Galegos (São Martinho),11.55
Gilmonde,13.43
Lama,12.53
Lijó,13.32
Macieira de Rates,13.08
Manhente,16.14
Martim,10.52
Moure,12.45
Oliveira,8.84
Palme,8.83
Panque,8.93
Paradela,10.02
Pereira,11.29
Perelhal,12.99
Pousa,12.71
Remelhe,12.70
Rio Covo (Santa Eugénia),13.52
Roriz,8.78
Silva,12.96
Tamel (São Veríssimo),11.33
Ucha,12.61
União das freguesias de Alheira e Igreja Nova,13.11
União das freguesias de Alvito (São Pedro e São Martinho) e Couto,11.23
União das freguesias de Areias de Vilar e Encourados,10.64
"União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro)",23.72
União das freguesias de Campo e Tamel (São Pedro Fins),10.78
União das freguesias de Carreira e Fonte Coberta,11.92
"União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral",11.18
União das freguesias de Creixomil e Mariz,12.14
União das freguesias de Durrães e Tregosa,11.45
União das freguesias de Gamil e Midões,15.61
"União das freguesias de Milhazes, Vilar de Figos e Faria",12.57
União das freguesias de Negreiros e Chavão,11.37
União das freguesias de Quintiães e Aguiar,9.06
União das freguesias de Sequeade e Bastuço (São João e Santo Estevão),8.70
União das freguesias de Silveiros e Rio Covo (Santa Eulália),11.88
União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte,10.84
"União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães",14.63
União das freguesias de Vila Cova e Feitos,11.04
Várzea,15.07
Vila Seca,11.39
Braga,29.19
Adaúfe,15.21
Braga (São Vicente),32.81
Braga (São Vítor),37.06
Espinho,13.89
Esporões,18.30
Figueiredo,10.78
Gualtar,42.44
Lamas,13.27
Mire de Tibães,15.11
Padim da Graça,14.43
Palmeira,24.58
Pedralva,11.54
Priscos,16.47
Ruilhe,19.95
Sequeira,17.41
Sobreposta,12.72
Tadim,24.21
Tebosa,13.69
União das freguesias de Arentim e Cunha,15.72
"União das freguesias de Braga (Maximinos, Sé e Cividade)",26.54
União das freguesias de Braga (São José de São Lázaro e São João do Souto),30.94
União das freguesias de Cabreiros e Passos (São Julião),14.52
"União das freguesias de Celeirós, Aveleda e Vimieiro",15.59
União das freguesias de Crespos e Pousada,14.14
União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente),15.43
União das freguesias de Este (São Pedro e São Mamede),24.90
União das freguesias de Ferreiros e Gondizalves,22.82
União das freguesias de Guisande e Oliveira (São Pedro),12.98
União das freguesias de Lomar e Arcos,22.29
"União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães",21.03
União das freguesias de Merelim (São Pedro) e Frossos,25.97
União das freguesias de Morreira e Trandeiras,14.77
"União das freguesias de Nogueira, Fraião e Lamaçães",45.26
União das freguesias de Nogueiró e Tenões,52.67
"União das freguesias de Real, Dume e Semelhe",28.95
União das freguesias de Santa Lucrécia de Algeriz e Navarra,18.51
União das freguesias de Vilaça e Fradelos,15.78
Esposende,20.21
Antas,14.80
Forjães,18.61
Gemeses,18.93
União das freguesias de Apúlia e Fão,19.38
União das freguesias de Belinho e Mar,11.50
"União das freguesias de Esposende, Marinhas e Gandra",26.81
União das freguesias de Fonte Boa e Rio Tinto,10.68
União das freguesias de Palmeira de Faro e Curvos,18.02
Vila Chã,15.01
Terras de Bouro,9.15
Balança,11.03
Campo do Gerês,22.48
Carvalheira,6.08
Covide,8.98
Gondoriz,7.79
Moimenta,13
Ribeira,8.77
Rio Caldo,8.06
Souto,8.60
União das freguesias de Chamoim e Vilar,5.96
União das freguesias de Chorense e Monte,6.38
União das freguesias de Cibões e Brufe,2.29
Valdosende,8.15
Vilar da Veiga,11.32
Vila Verde,13.51
Aboim da Nóbrega e Gondomar,7.95
Atiães,5.38
Cabanelas,8.67
Cervães,12.90
Coucieiro,14.75
Dossãos,8.75
Freiriz,10.23
Gême,14.95
Lage,18.89
Lanhas,11.01
Loureira,17.76
Moure,12.92
Oleiros,13
Parada de Gatim,6.57
Pico,8.60
Ponte,6.54
Prado (São Miguel),9.93
Sabariz,19.77
Soutelo,19.30
Turiz,14.63
União das freguesias da Ribeira do Neiva,8.44
União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago),6.60
União das freguesias de Escariz (São Mamede) e Escariz (São Martinho),8.44
"União das freguesias de Esqueiros, Nevogilde e Travassós",11.49
União das freguesias de Marrancos e Arcozelo,12.19
União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel),3.73
"União das freguesias de Pico de Regalados, Gondiães e Mós",17.91
"União das freguesias de Sande, Vilarinho, Barros e Gomide",9.72
"União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho)",5.61
União das freguesias do Vade,8.38
Valdreu,4.58
Vila de Prado,17.69
Vila Verde e Barbudo,18.52
Ave,15.07
Cabeceiras de Basto,12.51
Abadim,12.34
Basto,12.01
Bucos,12.94
Cabeceiras de Basto,7.62
Cavez,6.51
Faia,7.24
Pedraça,9.91
Rio Douro,9.70
União das freguesias de Alvite e Passos,10.51
União das freguesias de Arco de Baúlhe e Vila Nune,13.86
União das freguesias de Gondiães e Vilar de Cunhas,9.29
"União das freguesias de Refojos de Basto, Outeiro e Painzela",15.44
Fafe,13.98
Armil,10.58
Arões (Santa Cristina),10.85
Arões (São Romão),11.22
Estorãos,9.62
Fafe,21.92
Fornelos,12.36
Golães,10.27
Medelo,15.41
Paços,8.52
Quinchães,10.24
Regadas,8.46
Revelhe,11.53
Ribeiros,11.01
São Gens,11.30
Silvares (São Martinho),10.51
Travassós,8.75
"União de freguesias de Aboim, Felgueiras, Gontim e Pedraído",5.71
União de freguesias de Agrela e Serafão,11.57
União de freguesias de Antime e Silvares (São Clemente),13.65
"União de freguesias de Ardegão, Arnozela e Seidões",7.27
União de freguesias de Cepães e Fareja,8.58
União de freguesias de Freitas e Vila Cova,4.95
União de freguesias de Monte e Queimadela,7.26
União de freguesias de Moreira do Rei e Várzea Cova,8.67
Vinhós,11.78
Guimarães,16.09
Aldão,18.84
Azurém,26.56
Barco,11.38
Brito,12.68
Caldelas,19.02
Candoso (São Martinho),13.64
Costa,37.87
Creixomil,25.27
Fermentões,18.49
Gonça,8.89
Gondar,12.02
Guardizela,11.25
Infantas,7.29
Longos,9.59
Lordelo,10.70
Mesão Frio,17.73
Moreira de Cónegos,9.90
Nespereira,11.57
Pencelo,11.86
Pinheiro,11.60
Polvoreira,9.51
Ponte,14.35
Prazins (Santa Eufémia),12.46
Ronfe,12.84
Sande (São Martinho),11.76
São Torcato,11.07
Selho (São Cristóvão),9.71
Selho (São Jorge),14.19
Serzedelo,9.57
Silvares,14.90
