ID animal,Cód. postal,SMS,Tipo SMS,Show
68376,2795-133,sim,LP,não
29581,1150-209,sim,LP,não
20034,1500-128,sim,LP,não
24497,1150-340,sim,LP,não
64655,2795-217,sim,LP,não
66486,1300-?,sim,LP,sim
72208,2810-080,sim,LP,não
72392,7000-512,sim,LP,sim
72427,1750-400,sim,LP,sim
60377,1495-034,sim,PM,sim
67071,2650-111,sim,PM,sim
70722,2700-427,sim,PM,não
71428,1500-224,sim,PM,sim
72294,2725-014,sim,PM,sim
7538,2610-265,sim,LP,não
51424,1300-531,sim,LP,não
53975,1500-599,sim,LP,não
71108,2790-240,sim,LP,sim
71920,2765-605,sim,LP,não
72178,2635-293,sim,LP,não
72367,1500-292,sim,LP,sim
38165,1300-291,sim,PM,não
60121,8600-???,sim,PM,não
62846,1750-396,sim,PM,não
63566,2790-258,sim,PM,não
67609,2790-311,sim,PM,não
69538,1200-630,sim,PM,sim
71317,1675-108,sim,PM ,sim
71536,1700-342,sim,PM,não
72503,1350-065,sim,PM,sim
72644,1400-127,sim,PM,não
68039,2605-278,sim,PM,sim
52890,1495-159,sim,PM,não
60987,2735-005,sim,PM,não
71865,1495-724,sim,PM,não
72787,2735-266,sim,PM,não
42613,1950-450,sim,PM,não
35831,2730-272,sim,PM,não
47145,1400-320,sim,PM,sim
63900,1700-322,sim,PM,sim
8924,2795-074,sim,PM,não
877,1990-108,sim,PM,sim
66842,2725-014,sim,PM,sim
71156,1300-087,sim,PM,não
25774,1500-627,sim,LP,não
48994,2690-387,sim,LP,não
61557,2720-135,sim,LP,não
44440,2865-655,sim,LP,não
69802,2855-650,sim,LP,não
45584,1300-033,sim,LP,sim
31343,2680-003,sim,LP,sim
72023,2650-406,sim,LP,sim
47427,2675-670,sim,LP,sim
72309,1400-270,sim,LP,não
64702,1400-357,sim,LP,não
72543,1349-017,sim,LP,não
65028,2760-093,sim,PM,sim
73346,1800-135,sim,PM,não
73355,2745-016,sim,PM,não
67554,2745-121,sim,PM,sim
1762,2790-054,sim,PM,não
47588,1400-107,sim,PM,não
60309,2810-226,sim,PM,não
73603,2625-204,sim,PM,não
48716,2635-299,sim,PM,sim
73734,2745-102,sim,PM,não
70266,1400-134,sim,PM,não
38677,1070-129,sim,PM,sim
15064,2740-252,sim,PM,sim
70847,2675-607,sim,PM,sim
24004,2785-720,sim,LP,não
62244,1495-138,sim,LP,não
62384,2710-692,sim,LP,não
72661,2840-503,sim,LP,não
72195,1700-023,sim,LP,não
507,2785-055,sim,LP,sim
61914,1250-199,sim,LP,não
66702,1400-262,sim,LP,não
64893,2680-037,sim,LP,sim
64731,1400-321,sim,LP,sim
44594,1150-040,sim,LP,sim
2417,2775-615,sim,LP,não
61585,1600-238,sim,LP,não
73572,2785-433,sim,LP,não
61813,1400-107,sim,PM,não
73452,2650-197,sim,PM,não
67720,1400-004,sim,PM,não
73978,1495-017,sim,PM,não
67647,2000-215,sim,PM,não
45959,1400-049,sim,PM,sim
72830,2670-540,sim,PM,sim
67484,1400-319,sim,PM,não
48927,1500-534,sim,PM,não
49716,2610-175,sim,PM,não
15836,1300-076,sim,PM,sim
74257,1350-410,sim,PM,não
64011,1350-065,sim,PM,não
33923,2675-520,sim,LP,sim
62945,1495-131,sim,LP,sim
43559,2870-619,sim,LP,não
72954,2735-507,sim,LP,não
26464,1750-433,sim,LP,não
72016,2705-727,sim,LP,sim
74026,1350-282,sim,LP,não
72666,1350-141,sim,LP,não
56055,2775-573,sim,LP,sim
31479,1300-422,sim,LP,não
53312,1250-233,sim,LP,não
74259,1300-306,sim,LP,não
46791,2700-720,sim,LP,não
51556,2785-122,sim,LP,não
74386,2720-801,sim,LP,sim
20387,2710-132,sim,LP,sim
74033,1500-008,sim,LP,não
74501,1500-377,sim,LP,não
74109,1300-414,sim,LP,não
28113,1495-076,sim,LP,não
74571,2610-147,sim,LP,não
45114,2610-114,sim,LP,não
51128,1400-422,sim,LP,sim
67751,2825-021,sim,LP,não
35058,2605-200,sim,LP,sim
74057,1400-284,sim,LP,não
73869,2605-076,sim,LP,não
61758,1600-413,sim,LP,não
74740,2725-337,sim,LP,não
74774,1200-257,sim,LP,não
69337,2660-444,sim,LP,sim
41545,2610-287,sim,PM,sim
73866,1700-094,sim,PM,não
73937,2675-362,sim,PM,não
74005,9000-136,sim,PM,não
74006,2855-412,sim,PM,não
73962,2795-036,sim,PM,não
74514,2780-232,sim,PM,sim
73820,1400-251,sim,PM,sim
69820,2785-449,sim,PM,não
70304,1350-209,sim,PM,não
40970,1300-413,sim,PM,não
74021,1600-256,sim,PM,não
72370,1170-164,sim,PM,não
73919,1400-166,sim,PM,sim
34419,2790-069,sim,PM,sim
74236,2790-491,sim,PM,sim
6707,1150-143,sim,PM,não
51090,1170-182,sim,PM,não
14622,1070-070,sim,PM,não
74615,2610-286,sim,PM,não
72312,NA,não,NA,não
13819,NA,não,NA,não
67198,NA,não,NA,não
41359,NA,não,NA,não
71543,NA,não,NA,não
57078,NA,não,NA,não
18447,NA,não,NA,não
72043,NA,não,NA,não
72194,NA,não,NA,não
52909,NA,não,NA,não
50843,NA,não,NA,sim
46773,NA,não,NA,não
63613,NA,não,NA,não
65197,NA,não,NA,não
