Local de residência (à data dos Censos 2021),"Taxa de emprego (%) por Local de residência (à data dos Censos 2021), Sexo e Grupo etário; Decenal"
Portugal,49.12
Continente,49.12
Norte,49.15
Alto Minho,45.80
Arcos de Valdevez,37.25
Aboim das Choças,35.77
Aguiã,38.07
Ázere,40.84
Cabana Maior,19.88
Cabreiro,16.46
Cendufe,41.22
Couto,32.94
Gavieira,27.13
Gondoriz,33.54
Jolda (São Paio),47.06
Miranda,18.80
Monte Redondo,31.76
Oliveira,51.61
Paçô,49.94
Padroso,26.40
Prozelo,36.90
Rio de Moinhos,24.25
Rio Frio,24.50
Sabadim,29.90
Senharei,26.58
Sistelo,19.79
Soajo,19.40
União das freguesias de Alvora e Loureda,25.36
"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",51.65
União das freguesias de Arcos de Valdevez (São Paio) e Giela,49.11
União das freguesias de Eiras e Mei,25.82
União das freguesias de Grade e Carralcova,25.06
União das freguesias de Guilhadeses e Santar,46.39
União das freguesias de Jolda (Madalena) e Rio Cabrão,33.50
União das freguesias de Padreiro (Salvador e Santa Cristina),37.50
União das freguesias de Portela e Extremo,18.10
União das freguesias de São Jorge e Ermelo,25.94
União das freguesias de Souto e Tabaçô,44.64
União das freguesias de Távora (Santa Maria e São Vicente),39.64
"União das freguesias de Vilela, São Cosme e São Damião e Sá",30.93
Vale,33.44
Caminha,44.67
Âncora,50.58
Argela,47.43
Dem,37.04
Lanhelas,44.15
Riba de Âncora,41.92
Seixas,43.11
"União das freguesias de Arga (Baixo, Cima e São João)",25.32
União das freguesias de Caminha (Matriz) e Vilarelho,42.16
União das freguesias de Gondar e Orbacém,45.61
União das freguesias de Moledo e Cristelo,47.21
União das freguesias de Venade e Azevedo,44.67
Vila Praia de Âncora,46.45
Vilar de Mouros,40.78
Vile,40.93
Melgaço,33.76
Alvaredo,36.50
Cousso,16.67
Cristoval,31.25
Fiães,17.27
Gave,16.67
Paderne,35.79
Penso,30.75
São Paio,33.27
União das freguesias de Castro Laboreiro e Lamas de Mouro,18.61
União das freguesias de Chaviães e Paços,29.04
União das freguesias de Parada do Monte e Cubalhão,19.12
União das freguesias de Prado e Remoães,33.98
União das freguesias de Vila e Roussas,45.73
Monção,41.45
Abedim,33.71
Barbeita,38.89
Barroças e Taias,36.84
Bela,40.19
Cambeses,47.48
Lara,54.22
Longos Vales,39.53
Merufe,30.22
Moreira,44.23
Pias,39.10
Pinheiros,43.60
Podame,32.13
Portela,26.70
Riba de Mouro,27.63
Segude,41.87
Tangil,39.28
Trute,42.54
União das freguesias de Anhões e Luzio,18.42
União das freguesias de Ceivães e Badim,33.59
União das freguesias de Mazedo e Cortes,53.81
"União das freguesias de Messegães, Valadares e Sá",26.85
União das freguesias de Monção e Troviscoso,43.81
"União das freguesias de Sago, Lordelo e Parada",31.96
União das freguesias de Troporiz e Lapela,37.68
Paredes de Coura,44.44
Agualonga,39.74
Castanheira,49.64
Coura,33.33
Cunha,53.24
Infesta,40
Mozelos,43.79
Padornelo,44.35
Parada,43.50
Romarigães,47.74
Rubiães,38.48
União das freguesias de Bico e Cristelo,37.54
União das freguesias de Cossourado e Linhares,48.46
União das freguesias de Formariz e Ferreira,39.88
União das freguesias de Insalde e Porreiras,37.50
União das freguesias de Paredes de Coura e Resende,50.65
Vascões,43.59
Ponte da Barca,42.13
Azias,27.02
Boivães,35.12
Bravães,45.04
Britelo,30.90
Cuide de Vila Verde,45.09
Lavradas,43.70
Lindoso,26.78
Nogueira,42.98
Oleiros,46.58
Sampriz,42.18
"União das freguesias de Crasto, Ruivos e Grovelas",41.29
"União das freguesias de Entre Ambos-os-Rios, Ermida e Germil",32.52
"União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães",46.83
União das freguesias de Touvedo (São Lourenço e Salvador),38.87
União das freguesias de Vila Chã (São João Baptista e Santiago),31.08
Vade (São Pedro),49.52
Vade (São Tomé),51.43
Ponte de Lima,48.37
Anais,47.37
Arca e Ponte de Lima,51.93
Arcozelo,50
"Ardegão, Freixo e Mato",47.05
Associação de freguesias do Vale do Neiva,40.49
Bárrio e Cepões,45.71
Beiral do Lima,33.19
Bertiandos,41.39
Boalhosa,27.27
Brandara,50.83
Cabaços e Fojo Lobal,43.06
Cabração e Moreira do Lima,41.79
Calheiros,51.13
Calvelo,46.63
Correlhã,51.73
Estorãos,31.32
Facha,49.55
Feitosa,65.90
Fontão,52.30
Fornelos e Queijada,48.65
Friastelas,45.43
Gandra,45.33
Gemieira,46.08
Gondufe,38.54
Labruja,48.65
"Labrujó, Rendufe e Vilar do Monte",33.89
Navió e Vitorino dos Piães,47.76
Poiares,48.67
Rebordões (Santa Maria),52.98
Rebordões (Souto),46.58
Refóios do Lima,41.75
Ribeira,49.60
Sá,45.95
Santa Comba,54.01
Santa Cruz do Lima,43.28
São Pedro d'Arcos,45.91
Seara,57.17
Serdedelo,37.21
Vitorino das Donas,47.64
Valença,47.15
Boivão,29.31
Cerdal,43.34
Fontoura,50.96
Friestas,43.49
Ganfei,46.86
São Pedro da Torre,46.06
União das freguesias de Gandra e Taião,47.30
União das freguesias de Gondomil e Sanfins,38.78
União das freguesias de São Julião e Silva,44.93
"União das freguesias de Valença, Cristelo Covo e Arão",50.23
Verdoejo,45.42
Viana do Castelo,49.06
Afife,41.23
Alvarães,44
Amonde,40.19
Anha,47.49
Areosa,49.90
Carreço,44.62
Castelo do Neiva,46.90
Chafé,56.87
Darque,48.28
Freixieiro de Soutelo,46.78
Lanheses,44.21
Montaria,31.50
Mujães,46.67
Outeiro,45.27
Perre,50.71
Santa Marta de Portuzelo,52.17
São Romão de Neiva,49.31
União das freguesias de Barroselas e Carvoeiro,48.49
União das freguesias de Cardielos e Serreleis,48.93
"União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão",48.08
União das freguesias de Mazarefes e Vila Fria,46.50
"União das freguesias de Nogueira, Meixedo e Vilar de Murteda",42.85
"União das freguesias de Subportela, Deocriste e Portela Susã",47.91
União das freguesias de Torre e Vila Mou,45.15
União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,51.54
Vila de Punhe,47.47
Vila Franca,47.42
Vila Nova de Cerveira,49.06
Cornes,52.71
Covas,40.41
Gondarém,46.03
Loivo,48.90
Mentrestido,46.56
Sapardos,35.95
Sopo,41.45
União das freguesias de Campos e Vila Meã,57.10
União das freguesias de Candemil e Gondar,46.45
União das freguesias de Reboreda e Nogueira,50.20
União das freguesias de Vila Nova de Cerveira e Lovelhe,49.75
Cávado,53.21
Amares,50.15
Barreiros,51.38
Bico,55.03
Bouro (Santa Maria),42.48
Bouro (Santa Marta),39.58
Caires,51.82
Carrazedo,50.24
Dornelas,39.57
Fiscal,51.04
Goães,45.35
Lago,53.51
Rendufe,52.45
União das freguesias de Amares e Figueiredo,52.89
"União das freguesias de Caldelas, Sequeiros e Paranhos",41.58
"União das freguesias de Ferreiros, Prozelo e Besteiros",53.33
União das freguesias de Torre e Portela,43.17
"União das freguesias de Vilela, Seramil e Paredes Secas",40.41
Barcelos,54.09
Abade de Neiva,57.54
Aborim,51.46
Adães,50.46
Airó,56.16
Aldreu,51.94
Alvelos,54.52
Arcozelo,56.67
Areias,52.81
Balugães,55.70
Barcelinhos,55.25
Barqueiros,46.58
Cambeses,50.23
Carapeços,56.93
Carvalhal,49.87
Carvalhas,46.15
Cossourado,51.72
Cristelo,53.92
Fornelos,54.11
Fragoso,51.56
Galegos (Santa Maria),55.40
Galegos (São Martinho),55.85
Gilmonde,55.43
Lama,52.24
Lijó,56.74
Macieira de Rates,56.28
Manhente,53.94
Martim,59.34
Moure,56.82
Oliveira,53.19
Palme,57.95
Panque,49.82
Paradela,57.27
Pereira,60.33
Perelhal,53.96
Pousa,56.38
Remelhe,54.96
Rio Covo (Santa Eugénia),55.41
Roriz,53.92
Silva,53.24
Tamel (São Veríssimo),50.04
Ucha,55.19
União das freguesias de Alheira e Igreja Nova,46.11
União das freguesias de Alvito (São Pedro e São Martinho) e Couto,51.41
União das freguesias de Areias de Vilar e Encourados,44.30
"União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro)",52.94
União das freguesias de Campo e Tamel (São Pedro Fins),54.53
União das freguesias de Carreira e Fonte Coberta,54.43
"União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral",53.41
União das freguesias de Creixomil e Mariz,54.50
União das freguesias de Durrães e Tregosa,49.39
União das freguesias de Gamil e Midões,54.90
"União das freguesias de Milhazes, Vilar de Figos e Faria",54.57
União das freguesias de Negreiros e Chavão,53.32
União das freguesias de Quintiães e Aguiar,50.85
União das freguesias de Sequeade e Bastuço (São João e Santo Estevão),53.60
União das freguesias de Silveiros e Rio Covo (Santa Eulália),54.41
União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte,59.20
"União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães",53.72
União das freguesias de Vila Cova e Feitos,54.94
Várzea,56.70
Vila Seca,52.52
Braga,54.34
Adaúfe,52.92
Braga (São Vicente),53.73
Braga (São Vítor),53
Espinho,52.51
Esporões,53.48
Figueiredo,56.02
Gualtar,60.17
Lamas,58.26
Mire de Tibães,52.06
Padim da Graça,54.53
Palmeira,52.78
Pedralva,53.80
Priscos,52.10
Ruilhe,52.61
Sequeira,49.13
Sobreposta,57.91
Tadim,58.69
Tebosa,52.69
União das freguesias de Arentim e Cunha,53.45
