Local de residência (à data dos Censos 2021),Idade média (Ano) da população residente por Local de residência (à data dos Censos 2021); Decenal
Portugal,45.44
Continente,45.55
Norte,45.40
Alto Minho,48.18
Arcos de Valdevez,51.97
Aboim das Choças,53.43
Aguiã,50.28
Ázere,51.63
Cabana Maior,62.39
Cabreiro,61.93
Cendufe,48
Couto,55.82
Gavieira,61.25
Gondoriz,54.94
Jolda (São Paio),44.44
Miranda,62.15
Monte Redondo,50.91
Oliveira,45.93
Paçô,46.68
Padroso,57.16
Prozelo,53.03
Rio de Moinhos,57.48
Rio Frio,59.22
Sabadim,57.26
Senharei,60.94
Sistelo,62.51
Soajo,60.69
União das freguesias de Alvora e Loureda,56.72
"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",44.97
União das freguesias de Arcos de Valdevez (São Paio) e Giela,45.54
União das freguesias de Eiras e Mei,58.58
União das freguesias de Grade e Carralcova,58
União das freguesias de Guilhadeses e Santar,46.85
União das freguesias de Jolda (Madalena) e Rio Cabrão,53.42
União das freguesias de Padreiro (Salvador e Santa Cristina),53.27
União das freguesias de Portela e Extremo,62.35
União das freguesias de São Jorge e Ermelo,55.72
União das freguesias de Souto e Tabaçô,47.76
União das freguesias de Távora (Santa Maria e São Vicente),52.05
"União das freguesias de Vilela, São Cosme e São Damião e Sá",55.52
Vale,54.11
Caminha,49.06
Âncora,46.48
Argela,47.99
Dem,51.34
Lanhelas,51.67
Riba de Âncora,50.87
Seixas,49.37
"União das freguesias de Arga (Baixo, Cima e São João)",63.72
União das freguesias de Caminha (Matriz) e Vilarelho,52.04
União das freguesias de Gondar e Orbacém,49.47
União das freguesias de Moledo e Cristelo,47.77
União das freguesias de Venade e Azevedo,48.25
Vila Praia de Âncora,47.41
Vilar de Mouros,48.37
Vile,48.90
Melgaço,55.94
Alvaredo,55.68
Cousso,64.37
Cristoval,59.60
Fiães,64.11
Gave,60.80
Paderne,56.11
Penso,56.50
São Paio,56.19
União das freguesias de Castro Laboreiro e Lamas de Mouro,65.05
União das freguesias de Chaviães e Paços,58.11
União das freguesias de Parada do Monte e Cubalhão,61.13
União das freguesias de Prado e Remoães,55.51
União das freguesias de Vila e Roussas,49.79
Monção,51.41
Abedim,55.80
Barbeita,53.87
Barroças e Taias,52.80
Bela,51.11
Cambeses,47.58
Lara,52.37
Longos Vales,54.34
Merufe,57
Moreira,52.48
Pias,50.80
Pinheiros,50.87
Podame,60.22
Portela,59.37
Riba de Mouro,59.36
Segude,51.29
Tangil,57.47
Trute,51.37
União das freguesias de Anhões e Luzio,64.52
União das freguesias de Ceivães e Badim,56.69
União das freguesias de Mazedo e Cortes,43.59
"União das freguesias de Messegães, Valadares e Sá",57.29
União das freguesias de Monção e Troviscoso,49.88
"União das freguesias de Sago, Lordelo e Parada",57.17
União das freguesias de Troporiz e Lapela,53.25
Paredes de Coura,49.41
Agualonga,52.20
