ID,1_Local,1_Costeira,1_Largo,1_NS/NR,2_metros,3_Cerco,3_Covos / Alcatruzes,3_Toneiras,3_Redes de emalhar / Tresmalho,3_Arrasto,3_Palangre,3_NS/NR,3_Outras. Quais?,6.2_Sim,6.2_Não,6.2_NS/NR,6.2.1_Notícias na comunicação social,6.2.1_Redes sociais,6.2.1_Pessoas conhecidas,6.2.1_Fontes oficiais/governamentais,6.2.1_Outra fonte. Qual?,6.3_Sim,6.3_Não,6.3_NS/NR,6.4_Concordo totalmente,6.4_Concordo,6.4_Nem concordo nem discordo,6.4_Discordo,6.4_Discordo totalmente,6.4_NS/NR,6.5_Sim,6.5_Não,6.5_NS/NR,6.6_Concordo totalmente,6.6_Concordo,6.6_Nem concordo nem discordo,6.6_Discordo,6.6_Discordo totalmente,6.6_NS/NR,6.7_Aumentará muito,6.7_Aumentará,6.7_Manter-se-á,6.7_Diminuirá,6.7_Diminuirá muito,6.7_NS/NR,6.8_Aumentará muito,6.8_Aumentará,6.8_Manter-se-á,6.8_Diminuirá,6.8_Diminuirá muito,6.8_NS/NR,8_Idade,9_Masculino,9_ Feminino,10_Concelho de residência,11_tempo de exerção,12_Função no navio 
1,,1,,,10,,1,,1,,1,,,,1,,,,,,,1,,,,,,,1,,1,,, ,1,,,,,1,,,,,,,,,1,,,47,1,,Sines,5,Mestre
2,1,,,,7,,1,,,,,,,,1,,,,,,,1,,,,1,,,,,1,,,,1,,,,,1,,,,,,,,,1,,,58,1,,Sines,40,Mestre
3,1,,,,7,,1,,,,1,,,1,,,,,,1,,1,,,,,,,1,,1,,,1,,,,,,,,1,,,,,,1,,,,57,1,,Sines,10,Mestre
4,1,,,,6,,1,,,,,,,1,,,,,,1,,1,,,,,1,,,,,1,,1,,,,,,,1,,,,,,,,,1,,61,1,,Sines,49,Mestre
5,1,,,,7,,1,,,,,,,,1,,,,,,,1,,,,,,1,,,,1,,1,,,,,,1,,,,,,,,,,1,,61,1,,Sines,50,Mestre
6,1,,,,7,,1,,,,,,,,1,,,,,,,1,,,,,,1,,,,1,,1,,,,,,,1,,,,,,,,,1,,53,1,,Sines,4,Tripulante 
7,1,,,,8.95,,,,1,,,,,,1,,,,,,,1,,,,,,1,,,1,,,1,,,,,,1,,,,,,,,,,1,,57,1,,Grândola,40,Mestre
8,1,,,,8.95,,,,1,,,,,,1,,,,,,,1,,,,,,1,,,1,,,1,,,,,,1,,,,,,,,,,1,,70,1,,Sines,56,Tripulante
9,1,,,,8.95,,,,1,,,,,,1,,,,,,,1,,,,,,1,,,1,,,1,,,,,,1,,,,,,,,,,1,,30,1,,Grândola,15,Tripulante
10,,1,,,9.5,,,,,,1,,,,,1,,,,,,1,,,,,,,1,,1,,,,,,1,,,1,,,,,,,,,1,,,50,1,,Sines,35,Mestre
11,1,,,,5.6,,1,,,,,,,,1,,,,,,,1,,,,,1,,,,,1,,,,1,,,,,1,,,,,,,,,1,,57,1,,Sines,38,Mestre
12,1,,,,8.95,,1,1,1,,1,,,1,,,,,,1,,1,,,,,,1,,,1,,,1,,,,,,,,,,1,,,,,1,,,38,1,,Sines,14,Tripulante 
13,1,,,,5.6,,1,,,,,,,,1,,,,,,,1,,,,,,1,,,,1,,1,,,,,,1,,,,,,,,,1,,,46,1,,Sines,30,Mestre
